rank,candidate_no,candidate_name,party,score,score_pct
1,7,นายธนาธร โล่ห์สุนทร,เพื่อไทย,41114,34.37654
2,6,นายกฤตภพ สติดีนิติวงศ์,ก้าวไกล,35484,29.66914
3,8,นายจินดา วงศ์สวัสดิ์,พลังประชารัฐ,16919,14.14644
4,1,นายภาวัฒน์ พยัคฆบุตร,ไทยสร้างไทย,8151,6.81527
5,10,นายดลนรุตม์ ชาญเศรษฐนนท์,รวมไทยสร้างชาติ,3591,3.00253
6,4,นางสาวกัญญารัตน์ วงศ์วรกุลกิจ,ประชาธิปัตย์,1037,0.86706
7,3,นายรุ่งโรจน์ เอื้อจริง,เสรีรวมไทย,809,0.67643
8,2,นายฐานศักดิ์ ศรีพงษ์ใหญ่,ภูมิใจไทย,714,0.59699
9,9,นายจิตร ใจจุน,ชาติพัฒนากล้า,704,0.58863
10,5,นายแดนไกร ท่าคร่อง,เพื่อชาติ,576,0.48161
11,11,นายจรัสรัตน์ ทัศนา,ไทยศรีวิไลย์,523,0.43729
