party,score,score_pct
เพื่อไทย,44633,37.31887
ก้าวไกล,42689,35.69344
รวมไทยสร้างชาติ,6352,5.31108
ภูมิใจไทย,2378,1.98831
ไทยสร้างไทย,1396,1.16723
แรงงานสร้างชาติ,1387,1.15971
ใหม่,1276,1.0669
พลังประชารัฐ,1155,0.96573
ครูไทยเพื่อประชาชน,996,0.83278
ประชาธิปัตย์,922,0.77091
เสรีรวมไทย,586,0.48997
เพื่อชาติไทย,552,0.46154
ไทยพร้อม,514,0.42977
ทางเลือกใหม่,468,0.39131
ภาคีเครือข่ายไทย,437,0.36539
ประชาธิปไตยใหม่,427,0.35703
พลังธรรมใหม่,399,0.33361
พลัง,377,0.31522
ประชากรไทย,355,0.29683
ไทยรวมไทย,317,0.26505
อนาคตไทย,311,0.26004
ท้องที่ไทย,276,0.23077
เป็นธรรม,243,0.20318
ไทยภักดี,239,0.19983
รวมใจไทย,228,0.19064
ไทยชนะ,219,0.18311
รวมพลัง,215,0.17977
พลังเพื่อไทย,212,0.17726
เพื่อชาติ,204,0.17057
ประชาชาติ,202,0.1689
เพื่อไทรวมพลัง,196,0.16388
พลังสังคมใหม่,193,0.16137
ไทยธรรม,192,0.16054
ไทยศรีวิไลย์,182,0.15218
เปลี่ยนอนาคต,171,0.14298
ชาติไทยพัฒนา,138,0.11539
พลังสยาม,135,0.11288
มิติใหม่,133,0.1112
ประชาไทย,130,0.1087
เปลี่ยน,129,0.10786
ไทยก้าวหน้า,121,0.10117
ชาติพัฒนากล้า,108,0.0903
ประชาภิวัฒน์,84,0.07023
เสมอภาค,82,0.06856
แผ่นดินธรรม,80,0.06689
ไทยเป็นหนึ่ง,75,0.06271
กรีน,70,0.05853
ช่วยชาติ,55,0.04599
คลองไทย,52,0.04348
พลังไทยรักชาติ,52,0.04348
รักษ์ผืนป่าประเทศไทย,51,0.04264
ไทยสมาร์ท,51,0.04264
รวมแผ่นดิน,44,0.03679
พลังประชาธิปไตย,43,0.03595
เพื่ออนาคตไทย,43,0.03595
ความหวังใหม่,37,0.03094
พลังสังคม,37,0.03094
ถิ่นกาขาวชาววิไล,36,0.0301
แนวทางใหม่,35,0.02926
เส้นด้าย,30,0.02508
สามัญชน,27,0.02258
ชาติรุ่งเรือง,25,0.0209
ภราดรภาพ,21,0.01756
พลังปวงชนไทย,20,0.01672
พลังสหกรณ์,20,0.01672
สังคมประชาธิปไตยไทย,19,0.01589
ราษฎร์วิถี,19,0.01589
